"logFC","logCPM","F","PValue","FDR","gene_ensembl","grouping_gene","project_id"
2.09766983501771,1.23224597360206,681.408983145405,4.90339665178811e-96,1.15195497540458e-91,"ENSG00000173641.18","HSPB7","TCGA-LUSC"
4.7292315970929,1.56422709944351,410.626368328895,5.07458078383242e-69,5.96085631772875e-65,"ENSG00000211672.2","HSPB7","TCGA-LUSC"
4.57774066132255,1.7926509251618,393.388896401026,3.84153290902348e-66,3.00830442105629e-62,"ENSG00000170044.8","HSPB7","TCGA-LUSC"
2.25566391217418,-1.04229070499309,327.143233582618,2.50288044542047e-59,1.47000425760658e-55,"ENSG00000181656.7","HSPB7","TCGA-LUSC"
1.57219781510033,3.11353513784025,333.392265590472,8.70187342670038e-58,4.08866224826944e-54,"ENSG00000163431.13","HSPB7","TCGA-LUSC"
3.06652898975673,2.63635932605309,322.642160960243,2.73042082248512e-56,1.06909627304405e-52,"ENSG00000117425.14","HSPB7","TCGA-LUSC"
3.87120708197782,2.08645337414822,297.220751612,7.07115632547539e-53,2.37318107934848e-49,"ENSG00000129167.9","HSPB7","TCGA-LUSC"
1.61048159368862,4.86889962523923,287.125826154437,1.62770037899177e-51,4.7799456254567e-48,"ENSG00000131471.7","HSPB7","TCGA-LUSC"
1.97705250282977,-1.07002347465512,273.399412128725,4.59473549691154e-51,1.19937912254381e-47,"ENSG00000130037.5","HSPB7","TCGA-LUSC"
3.12929669234455,-0.357846866954503,271.292369471142,6.67824883833261e-51,1.56892099958948e-47,"ENSG00000228536.3","HSPB7","TCGA-LUSC"
1.44248604797388,-1.37491197107397,263.00430372821,1.64881276013413e-49,3.52141437943919e-46,"ENSG00000254810.1","HSPB7","TCGA-LUSC"
2.31128303029612,0.235433165773728,266.979569078001,7.97845437972201e-49,1.56198190619008e-45,"ENSG00000018625.15","HSPB7","TCGA-LUSC"
1.75928180190101,0.386451969466092,260.385894106145,1.10994195009352e-47,2.005835864119e-44,"ENSG00000118526.7","HSPB7","TCGA-LUSC"
1.71517859861553,0.463303282251392,252.636273999765,1.54847973426757e-46,2.51676554506203e-43,"ENSG00000163145.13","HSPB7","TCGA-LUSC"
1.58518186810549,2.98773403430525,252.328534280515,1.60692475102926e-46,2.51676554506203e-43,"ENSG00000077943.8","HSPB7","TCGA-LUSC"
1.48660379190835,8.87610601063176,250.892740702831,2.50207901748028e-46,3.67383389735402e-43,"ENSG00000175899.15","HSPB7","TCGA-LUSC"
1.77649091514582,1.18230230825795,246.083950351578,1.52735736993006e-45,2.11071804069218e-42,"ENSG00000157103.12","HSPB7","TCGA-LUSC"
1.8039349643045,1.19445710687534,244.651268418963,2.48107092101788e-45,3.23821106374851e-42,"ENSG00000108823.16","HSPB7","TCGA-LUSC"
2.20559576326496,-1.35742296086126,228.775925334008,7.24757856283127e-45,8.96144016718921e-42,"ENSG00000141161.12","HSPB7","TCGA-LUSC"
2.71059396488158,2.59522173609829,238.789697636189,1.72169377102683e-44,2.02238758813666e-41,"ENSG00000115602.17","HSPB7","TCGA-LUSC"
1.75510488194912,5.84142995274375,234.791630697127,6.09201496310246e-44,6.8152241680079e-41,"ENSG00000166482.12","HSPB7","TCGA-LUSC"
2.88096900201198,0.709570553756706,231.572079291596,1.42802906441811e-43,1.52494030956248e-40,"ENSG00000104435.14","HSPB7","TCGA-LUSC"
2.80106055084374,1.9730635411094,231.760273984479,2.02194949427453e-43,2.06528954213007e-40,"ENSG00000162595.7","HSPB7","TCGA-LUSC"
2.45501653756164,0.897764368840095,230.958011935259,2.4354492426217e-43,2.38400037737132e-40,"ENSG00000140538.16","HSPB7","TCGA-LUSC"
1.23340099636558,3.66621224752203,229.946964344306,3.29904049509343e-43,3.00417098733398e-40,"ENSG00000095637.22","HSPB7","TCGA-LUSC"
1.64338184956715,0.79165239987512,230.347546382117,3.32475399781567e-43,3.00417098733398e-40,"ENSG00000235997.3","HSPB7","TCGA-LUSC"
1.17347992585558,3.75127474279419,229.316996144091,4.09831265374901e-43,3.56598737683428e-40,"ENSG00000072952.19","HSPB7","TCGA-LUSC"
1.79608156954081,3.12184110125784,228.80918455826,5.00665752689374e-43,4.20076447426124e-40,"ENSG00000241644.2","HSPB7","TCGA-LUSC"
1.45686762636152,4.48270519511689,228.538028746417,5.34439227508099e-43,4.32951061098199e-40,"ENSG00000174348.14","HSPB7","TCGA-LUSC"
1.45372279372796,4.19675294839716,227.770476286674,6.99302508103513e-43,5.47623794095861e-40,"ENSG00000109610.6","HSPB7","TCGA-LUSC"
2.47690160613177,-1.03772190876112,216.061279720551,1.61270329403625e-42,1.22216898344496e-39,"ENSG00000134207.17","HSPB7","TCGA-LUSC"
2.03293687335557,1.02274281276709,214.445374857979,8.58770176991356e-41,6.3047149275181e-38,"ENSG00000134917.10","HSPB7","TCGA-LUSC"
0.894255156005138,5.50406190242899,213.806910658331,9.41457813455018e-41,6.70232376106023e-38,"ENSG00000197256.11","HSPB7","TCGA-LUSC"
1.44334864401175,-1.63640079688982,205.222699075475,9.95676126842647e-41,6.87982919056303e-38,"ENSG00000236304.1","HSPB7","TCGA-LUSC"
1.6941627403706,-1.16223301970193,207.074438919231,1.42996189971571e-40,9.59831283143464e-38,"ENSG00000241158.7","HSPB7","TCGA-LUSC"
3.16188755307035,0.154994389565889,206.996557230424,3.05814558137115e-40,1.99569483730979e-37,"ENSG00000182747.5","HSPB7","TCGA-LUSC"
1.01945643028385,3.18835434115682,207.468505523192,9.18263384079558e-40,5.8304761303192e-37,"ENSG00000169744.13","HSPB7","TCGA-LUSC"
